Job Title,Location,Incentives,Due Date,URL,Scraped Date,Last Seen
Registered Nurse - 10 -20k Incentives Offered,"Nyngan, Nyngan Multi Purpose Service | Orana","salary packaging options) + nsw health incentives – (conditions apply, may be pro-rata'd to your contracted or ordinary working hours – to find out more, visit rural health workforce incentive scheme and western nsw lhd incentives)’location: nyngan, nsw – find out morehours per week: up to", 17 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-10-20k-incentives-offered-294375,2025-06-06,2025-06-15
Registered Nurse - Anaesthetics - Temporary Full Time/Part Time,"Caringbah, Sutherland Hospital | Sydney",, 22 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-anaesthetics-temporary-full-time-part-time-294372,2025-06-06,2025-06-15
Registered Nurse - Boorowa (Incentives Offered),"Boorowa, Boorowa Health Service | Southern Highlands","incentives under the nsw rural health workforce incentive scheme, including up to; incentive scheme (conditions apply) salary packaging: up to; incentive, and up to; incentive value dependent on full-time equivalent, position and location). find out more here employment type: full time, part time and casual opportunities availableposition classification: registered nurseremuneration: $72,152.53", 3 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-boorowa%C2%A0-incentives-offered-294368,2025-06-06,2025-06-25
RACF UCS Registered Nurse,"Blacktown, Blacktown Hospital | Western Sydney",,18th june 2025,https://jobs.health.nsw.gov.au/jobs/racf-ucs-registered-nurse-294366,2025-06-06,2025-06-15
Registered Nurse - B3 East - Wollongong Hospital,"Wollongong, Wollongong Hospital | Illawarra",,,https://jobs.health.nsw.gov.au/jobs/registered-nurse-b3-east-wollongong-hospital-294364,2025-06-06,2025-06-06
Registered Nurse - Emergency Department - Leeton (Incentives Offered),"Leeton, Leeton Health Service | Riverina","relocation assistance and accommodation support considerations subsidised gym and leisure centre membership for you and your family free confidential counselling services for you and your family flexible working arrangements, choose your own hours! when you join the nursing team here at mlhd, you unlock priority access to a broad range of interesting and unique medical cases where you can quickly advance your practical skills. with this advanced skill acquisition and experience comes fast-tracked career progression; the sky’s the limit to how far you can go! discover work-life balance in your new home. we believe in work-life balance, and you’re more than welcome to work part-time, as 70%; incentives under the nsw rural health workforce incentive scheme, including up to; incentive value dependent on full-time equivalent, position and location). find out more here employment type: permanent part timeposition classification: registered nurseremuneration: $72,152.53; incentive value dependent on full - time equivalent, position and location). find out more here salary packaging up to; incentive, and up to", 26 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-emergency-department-leeton-incentives-offered-294376,2025-06-06,2025-06-25
"Registered Nurse - Community Nursing, Grafton","Grafton, Clarence Community & Allied Health | Far North Coast",, 17 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-community-nursing-grafton-294373,2025-06-06,2025-06-15
Registered Nurse - 10-20k Incentives Offered,"Eugowra, Eugowra Memorial Multi Purpose Health Service | Central West and 1 additional location",, 17 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-10-20k-incentives-offered-294377,2025-06-06,2025-06-15
Cardiac Catheter Laboratory Registered Nurse,"Westmead, Westmead Hospital | Western Sydney",,11th june 2025,https://jobs.health.nsw.gov.au/jobs/cardiac-catheter-laboratory-registered-nurse-294356,2025-06-06,2025-06-06
Child and Family Health Registered Nurse,"Auburn, Auburn Community Health Centre | Western Sydney and 2 additional locations",,18th june 2025,https://jobs.health.nsw.gov.au/jobs/child-and-family-health-registered-nurse-294355,2025-06-06,2025-06-15
Registered Nurse - Anaesthetics,"Camperdown, Royal Prince Alfred Hospital | Sydney",, 14 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-anaesthetics-294324,2025-06-06,2025-06-06
